"year","prey","consumed","d","value.C","consumed.prop"
1994,"Diatom",2263083.02734553,"N",81264441.1072351,0.0278483798880645
1994,"DinoFlag",1651415.5618297,"N",7558666.03321251,0.218479762774732
1994,"Macroalgae",59681.0669870387,NA,NA,NA
1994,"PicoPhytopl",5067510.1571533,"N",82588416.3075769,0.0613586067358503
1995,"Diatom",2355535.64695456,"N",81264441.1072351,0.0289860560764362
1995,"DinoFlag",1739373.88629573,"N",7558666.03321251,0.230116515090491
1995,"Macroalgae",61379.9211218474,NA,NA,NA
1995,"PicoPhytopl",5253678.27961611,"N",82588416.3075769,0.0636127742182425
1996,"Diatom",2144888.03965521,"N",81509291.9511497,0.0263146444817689
1996,"DinoFlag",1568813.90664122,"N",7583374.09739468,0.206875447062567
1996,"Macroalgae",55664.5941069678,NA,NA,NA
1996,"PicoPhytopl",4616027.02592743,"N",82795859.4364366,0.0557519066454188
1997,"Diatom",2289830.31325189,"N",81264441.1072351,0.0281775187530087
1997,"DinoFlag",1689129.34516296,"N",7558666.03321251,0.223469238849949
1997,"Macroalgae",58672.4786592408,NA,NA,NA
1997,"PicoPhytopl",4945584.54843507,"N",82588416.3075769,0.0598823027434823
1998,"Diatom",1992257.37547814,"N",69650419.5496497,0.0286036665444345
1998,"DinoFlag",1395887.51905795,"N",6454003.32161327,0.216282429602008
1998,"Macroalgae",52421.5849905767,NA,NA,NA
1998,"PicoPhytopl",3883386.06960335,"N",73326988.5450572,0.0529598466629668
1999,"Diatom",2206756.32558764,"N",76687318.7101725,0.0287760266326134
1999,"DinoFlag",1675887.89575762,"N",7171398.65674369,0.233690522026926
1999,"Macroalgae",58792.0941172705,NA,NA,NA
1999,"PicoPhytopl",5252977.83382046,"N",79967235.2159471,0.0656891265483305
2000,"Diatom",2396484.71210733,"N",79509832.8450584,0.0301407338734742
2000,"DinoFlag",1867825.10343029,"N",7419900.76244116,0.251731817342497
2000,"Macroalgae",62176.760468104,NA,NA,NA
2000,"PicoPhytopl",5354403.94261118,"N",82390837.699926,0.0649878565637644
2001,"Diatom",2360865.52165196,"N",77279129.0830835,0.0305498463771993
2001,"DinoFlag",1872835.16207272,"N",7184393.55631528,0.260681036943814
2001,"Macroalgae",58611.2678176099,NA,NA,NA
2001,"PicoPhytopl",5007820.02296889,"N",78058346.559071,0.0641548308889582
2002,"Diatom",2521370.32164258,"N",81478663.2463737,0.0309451606246718
2002,"DinoFlag",1989950.36918374,"N",7521766.45481443,0.264558914603103
2002,"Macroalgae",66973.5672626619,NA,NA,NA
2002,"PicoPhytopl",6042669.23761382,"N",85264260.2786109,0.0708698957554864
2003,"Diatom",2280282.05864096,"N",85075505.1789893,0.0268030387106548
2003,"DinoFlag",1761412.78358545,"N",7906693.5252549,0.222774890408904
2003,"Macroalgae",59891.0947584232,NA,NA,NA
2003,"PicoPhytopl",4876610.79427649,"N",81686613.094108,0.059699020556261
2004,"Diatom",2119241.68958145,"N",79586903.9214777,0.0266280202540903
2004,"DinoFlag",1633039.69619497,"N",7364740.15501774,0.221737585009344
2004,"Macroalgae",54527.263024274,NA,NA,NA
2004,"PicoPhytopl",4310850.46593067,"N",76684232.171501,0.0562156044842392
2005,"Diatom",2063065.13472229,"N",81651088.7488823,0.0252668417082256
2005,"DinoFlag",1583717.12447966,"N",7533965.65249714,0.210210292630514
2005,"Macroalgae",56646.7320477141,NA,NA,NA
2005,"PicoPhytopl",4577914.92242132,"N",79305671.8573596,0.0577249371350794
2006,"Diatom",2465458.43309199,"N",87118464.8572149,0.0283000674671302
2006,"DinoFlag",1960740.00468132,"N",8094072.18532587,0.242243948384355
2006,"Macroalgae",65649.3035384231,NA,NA,NA
2006,"PicoPhytopl",5729726.53992402,"N",86916539.1834562,0.0659221661809404
2007,"Diatom",2354358.39653083,"N",84968384.9015109,0.0277086400931338
2007,"DinoFlag",1858917.9373398,"N",7878502.28766606,0.235948137027259
2007,"Macroalgae",64750.0413598909,NA,NA,NA
2007,"PicoPhytopl",5544597.18045441,"N",83977644.6521991,0.0660246807756737
2008,"Diatom",2405367.50916705,"N",84210929.8724427,0.0285636022878568
2008,"DinoFlag",1934849.25609128,"N",7853061.90664065,0.246381510688863
2008,"Macroalgae",63605.7399061645,NA,NA,NA
2008,"PicoPhytopl",5295152.00765504,"N",83600341.2992057,0.0633388802648986
2009,"Diatom",2429724.29690992,"N",86640017.8179929,0.0280439034767295
2009,"DinoFlag",1976494.36909556,"N",8069162.8447357,0.244944166715512
2009,"Macroalgae",66095.7465084818,NA,NA,NA
2009,"PicoPhytopl",5546812.3570666,"N",84440116.8345162,0.0656893022535381
2010,"Diatom",2713764.6074872,"N",85855832.7454683,0.0316083895608181
2010,"DinoFlag",2322041.93914664,"N",7987920.95581373,0.290694155837462
2010,"Macroalgae",73564.697406569,NA,NA,NA
2010,"PicoPhytopl",6684226.38116575,"N",85605557.6393832,0.0780816872816052
2011,"Diatom",2481436.34855578,"N",87171451.4461362,0.028466158442814
2011,"DinoFlag",1999577.69074625,"N",8142820.31491355,0.245563283164191
2011,"Macroalgae",69778.1896643749,NA,NA,NA
2011,"PicoPhytopl",5525666.10563845,"N",85058477.573476,0.064963143748549
2012,"Diatom",2678739.6797182,"N",84192633.396135,0.0318167940788175
2012,"DinoFlag",2142342.96063822,"N",7831902.56571581,0.273540553226024
2012,"Macroalgae",80142.1584536114,NA,NA,NA
2012,"PicoPhytopl",6268749.81853129,"N",88476433.0661586,0.0708521987300709
2013,"Diatom",2500544.11883812,"N",78972239.2443424,0.0316635838462344
2013,"DinoFlag",1995335.61917425,"N",7350036.07099648,0.271472901615805
2013,"Macroalgae",74805.8943575662,NA,NA,NA
2013,"PicoPhytopl",5405671.04703281,"N",84012368.2559382,0.0643437527027542
2014,"Diatom",2355820.55011078,"N",78514605.4332261,0.0300048702672819
2014,"DinoFlag",1986966.58194813,"N",7227660.07188789,0.274911459889552
2014,"Macroalgae",70058.6622686834,NA,NA,NA
2014,"PicoPhytopl",5350129.172232,"N",80902266.4991992,0.0661307699245355
2015,"Diatom",2339804.89077552,"N",80236528.5940076,0.0291613424929536
2015,"DinoFlag",1899554.2732911,"N",7496109.28407283,0.25340536020828
2015,"Macroalgae",70586.5755758273,NA,NA,NA
2015,"PicoPhytopl",5079747.44714425,"N",82109455.5263303,0.0618655599965014
2016,"Diatom",2611142.05861155,"N",79203062.8804636,0.0329676904358155
2016,"DinoFlag",2083851.91299736,"N",7431953.4550253,0.280390872414346
2016,"Macroalgae",82884.8432873211,NA,NA,NA
2016,"PicoPhytopl",5167023.51942404,"N",85460967.198123,0.0604606253454328
